case_number,initiated_date,channel,industry,product,oft_region,vulnerable_group_provided,complaint_date,complaint_year,complaint_month,complaint_quarter,category_clean,business_clean
C-2023-20767,2024-01-01,Internet,AUTOMOTIVE,VEHICLE HIRE (EXCL. MARINE VESSELS),Brisbane,No,2024-01-01,2024,2024-01,2024Q1,AUTOMOTIVE,
C-2023-20768,2024-01-01,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Wide Bay,No,2024-01-01,2024,2024-01,2024Q1,AUTOMOTIVE,
C-2023-20770,2024-01-01,Internet,AUTOMOTIVE,MOTOR VEHICLE SERVICING AND/OR REPAIRS (INCL. PARTS),New South Wales,No,2024-01-01,2024,2024-01,2024Q1,AUTOMOTIVE,
C-2024-20771,2024-01-01,Internet,"TRANSPORT, STORAGE & LOGISTICS",SECURE PARKING AND/OR CARPARKS,Brisbane,No,2024-01-01,2024,2024-01,2024Q1,"TRANSPORT, STORAGE & LOGISTICS",
C-2024-20772,2024-01-01,Internet,REAL ESTATE,RESIDENTIAL PROPERTY,Rockhampton,No,2024-01-01,2024,2024-01,2024Q1,REAL ESTATE,
C-2024-20773,2024-01-01,Internet,PERSONAL & HOUSEHOLD,CLOTHING AND/OR OTHER WEARABLE GOODS (INCL. JEWELLERY),Toowoomba,Yes,2024-01-01,2024,2024-01,2024Q1,PERSONAL & HOUSEHOLD,
C-2024-20774,2024-01-01,Internet,"GAMBLING, SCAMS & SCHEMES",LOTTERY AND/OR LOTTO-STYLE GAMES,New South Wales,No,2024-01-01,2024,2024-01,2024Q1,"GAMBLING, SCAMS & SCHEMES",
C-2024-20775,2024-01-01,Internet,"CULTURE, ENTERTAINMENT & MEDIA","PERFORMING ARTS, LIVE ENTERTAINMENT, THEME PARK, EXHIBITION, OTHER LEISURE VENUE AND/OR OTHER EVENT",Brisbane,No,2024-01-01,2024,2024-01,2024Q1,"CULTURE, ENTERTAINMENT & MEDIA",
C-2024-20776,2024-01-01,Internet,COMMUNICATION & IT,"PERSONAL DEVICES AND/OR RELATED GOODS (INCL. PHONES, HEADPHONES, SMART WATCHES)",Brisbane,Yes,2024-01-01,2024,2024-01,2024Q1,COMMUNICATION & IT,
C-2024-20777,2024-01-01,Internet,"EDUCATION, TRAINING & CHILDCARE",HIGHER EDUCATION AND/OR OTHER TRAINING,Rockhampton,No,2024-01-01,2024,2024-01,2024Q1,"EDUCATION, TRAINING & CHILDCARE",
C-2024-20778,2024-01-01,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Brisbane,No,2024-01-01,2024,2024-01,2024Q1,AUTOMOTIVE,
C-2024-20779,2024-01-01,Internet,TRAVEL,"HOTELS, MOTELS, APARTMENTS, CARAVAN PARKS AND/OR OTHER SITES",Brisbane,No,2024-01-01,2024,2024-01,2024Q1,TRAVEL,
C-2024-20780,2024-01-01,Internet,PERSONAL & HOUSEHOLD,OTHER SMALL HOUSEHOLD APPLIANCES (NEC),Southport,Yes,2024-01-01,2024,2024-01,2024Q1,PERSONAL & HOUSEHOLD,
C-2024-20781,2024-01-01,Internet,PERSONAL & HOUSEHOLD,"FURNITURE (INCL. MATTRESSES, OUTDOOR FURNITURE)",Brisbane,Yes,2024-01-01,2024,2024-01,2024Q1,PERSONAL & HOUSEHOLD,
C-2024-20782,2024-01-01,Internet,TRAVEL,"CRUISES, PASSENGER TOURS (INCL. TRAINS, BUSES) AND/OR OTHER PASSENGER TRAVEL (NEC)",Southport,No,2024-01-01,2024,2024-01,2024Q1,TRAVEL,
C-2024-20783,2024-01-01,Internet,"BUILDING, CONSTRUCTION & TRADE",ROOFING LABOUR AND/OR GOODS,Brisbane,No,2024-01-01,2024,2024-01,2024Q1,"BUILDING, CONSTRUCTION & TRADE",
C-2024-20784,2024-01-01,Internet,"TRANSPORT, STORAGE & LOGISTICS",SECURE PARKING AND/OR CARPARKS,Southport,No,2024-01-01,2024,2024-01,2024Q1,"TRANSPORT, STORAGE & LOGISTICS",
C-2024-20785,2024-01-01,Internet,PERSONAL & HOUSEHOLD,"GAMES AND/OR GAMING EQUIPMENT (INCL. CONSOLES, TOYS, COLLECTIBLES)",Southport,No,2024-01-01,2024,2024-01,2024Q1,PERSONAL & HOUSEHOLD,
C-2024-20786,2024-01-01,Internet,"CULTURE, ENTERTAINMENT & MEDIA","PERFORMING ARTS, LIVE ENTERTAINMENT, THEME PARK, EXHIBITION, OTHER LEISURE VENUE AND/OR OTHER EVENT",Brisbane,Yes,2024-01-01,2024,2024-01,2024Q1,"CULTURE, ENTERTAINMENT & MEDIA",
C-2024-20833,2024-01-01,Internet,"TRANSPORT, STORAGE & LOGISTICS","PERSONAL GOODS (INCL. FOOD, BEVERAGES)",Brisbane,No,2024-01-01,2024,2024-01,2024Q1,"TRANSPORT, STORAGE & LOGISTICS",
C-2024-20787,2024-01-02,Internet,"TRANSPORT, STORAGE & LOGISTICS","PERSONAL GOODS (INCL. FOOD, BEVERAGES)",Brisbane,Yes,2024-01-02,2024,2024-01,2024Q1,"TRANSPORT, STORAGE & LOGISTICS",
C-2024-20788,2024-01-02,Internet,"BUILDING, CONSTRUCTION & TRADE","CEILINGS, WALLS AND/OR FLOORS LABOUR AND/OR GOODS (INCL. WINDOWS, DOORS)",Sunshine Coast,No,2024-01-02,2024,2024-01,2024Q1,"BUILDING, CONSTRUCTION & TRADE",
C-2024-20789,2024-01-02,Internet,PERSONAL & HOUSEHOLD,"WASHING MACHINES, DRYERS AND/OR DISHWASHERS",Sunshine Coast,No,2024-01-02,2024,2024-01,2024Q1,PERSONAL & HOUSEHOLD,
C-2024-20790,2024-01-02,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Southport,No,2024-01-02,2024,2024-01,2024Q1,AUTOMOTIVE,
C-2024-20791,2024-01-02,Internet,UTILITIES,ELECTRICITY,Mackay,Yes,2024-01-02,2024,2024-01,2024Q1,UTILITIES,
C-2024-20792,2024-01-02,Ministerial,AUTOMOTIVE,MOTOR VEHICLE SERVICING AND/OR REPAIRS (INCL. PARTS),,No,2024-01-02,2024,2024-01,2024Q1,AUTOMOTIVE,
