Case Number,Initiated Date,Channel,Industry,Product,OFT Region,Vulnerable Group Provided
C-2023-20767,01/01/2024,Internet,AUTOMOTIVE,VEHICLE HIRE (EXCL. MARINE VESSELS),Brisbane,No
C-2023-20768,01/01/2024,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Wide Bay,No
C-2023-20770,01/01/2024,Internet,AUTOMOTIVE,MOTOR VEHICLE SERVICING AND/OR REPAIRS (INCL. PARTS),New South Wales,No
C-2024-20771,01/01/2024,Internet,"TRANSPORT, STORAGE & LOGISTICS",SECURE PARKING AND/OR CARPARKS,Brisbane,No
C-2024-20772,01/01/2024,Internet,REAL ESTATE,RESIDENTIAL PROPERTY,Rockhampton,No
C-2024-20773,01/01/2024,Internet,PERSONAL & HOUSEHOLD,CLOTHING AND/OR OTHER WEARABLE GOODS (INCL. JEWELLERY),Toowoomba,Yes
C-2024-20774,01/01/2024,Internet,"GAMBLING, SCAMS & SCHEMES",LOTTERY AND/OR LOTTO-STYLE GAMES,New South Wales,No
C-2024-20775,01/01/2024,Internet,"CULTURE, ENTERTAINMENT & MEDIA","PERFORMING ARTS, LIVE ENTERTAINMENT, THEME PARK, EXHIBITION, OTHER LEISURE VENUE AND/OR OTHER EVENT",Brisbane,No
C-2024-20776,01/01/2024,Internet,COMMUNICATION & IT,"PERSONAL DEVICES AND/OR RELATED GOODS (INCL. PHONES, HEADPHONES, SMART WATCHES)",Brisbane,Yes
C-2024-20777,01/01/2024,Internet,"EDUCATION, TRAINING & CHILDCARE",HIGHER EDUCATION AND/OR OTHER TRAINING,Rockhampton,No
C-2024-20778,01/01/2024,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Brisbane,No
C-2024-20779,01/01/2024,Internet,TRAVEL,"HOTELS, MOTELS, APARTMENTS, CARAVAN PARKS AND/OR OTHER SITES",Brisbane,No
C-2024-20780,01/01/2024,Internet,PERSONAL & HOUSEHOLD,OTHER SMALL HOUSEHOLD APPLIANCES (NEC),Southport,Yes
C-2024-20781,01/01/2024,Internet,PERSONAL & HOUSEHOLD,"FURNITURE (INCL. MATTRESSES, OUTDOOR FURNITURE)",Brisbane,Yes
C-2024-20782,01/01/2024,Internet,TRAVEL,"CRUISES, PASSENGER TOURS (INCL. TRAINS, BUSES) AND/OR OTHER PASSENGER TRAVEL (NEC)",Southport,No
C-2024-20783,01/01/2024,Internet,"BUILDING, CONSTRUCTION & TRADE",ROOFING LABOUR AND/OR GOODS,Brisbane,No
C-2024-20784,01/01/2024,Internet,"TRANSPORT, STORAGE & LOGISTICS",SECURE PARKING AND/OR CARPARKS,Southport,No
C-2024-20785,01/01/2024,Internet,PERSONAL & HOUSEHOLD,"GAMES AND/OR GAMING EQUIPMENT (INCL. CONSOLES, TOYS, COLLECTIBLES)",Southport,No
C-2024-20786,01/01/2024,Internet,"CULTURE, ENTERTAINMENT & MEDIA","PERFORMING ARTS, LIVE ENTERTAINMENT, THEME PARK, EXHIBITION, OTHER LEISURE VENUE AND/OR OTHER EVENT",Brisbane,Yes
C-2024-20833,01/01/2024,Internet,"TRANSPORT, STORAGE & LOGISTICS","PERSONAL GOODS (INCL. FOOD, BEVERAGES)",Brisbane,No
C-2024-20787,02/01/2024,Internet,"TRANSPORT, STORAGE & LOGISTICS","PERSONAL GOODS (INCL. FOOD, BEVERAGES)",Brisbane,Yes
C-2024-20788,02/01/2024,Internet,"BUILDING, CONSTRUCTION & TRADE","CEILINGS, WALLS AND/OR FLOORS LABOUR AND/OR GOODS (INCL. WINDOWS, DOORS)",Sunshine Coast,No
C-2024-20789,02/01/2024,Internet,PERSONAL & HOUSEHOLD,"WASHING MACHINES, DRYERS AND/OR DISHWASHERS",Sunshine Coast,No
C-2024-20790,02/01/2024,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Southport,No
C-2024-20791,02/01/2024,Internet,UTILITIES,ELECTRICITY,Mackay,Yes
C-2024-20792,02/01/2024,Ministerial,AUTOMOTIVE,MOTOR VEHICLE SERVICING AND/OR REPAIRS (INCL. PARTS),,No
C-2024-20793,02/01/2024,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Cairns,Yes
C-2024-20795,02/01/2024,Internet,AUTOMOTIVE,MOTOR VEHICLE SERVICING AND/OR REPAIRS (INCL. PARTS),Wide Bay,No
C-2024-20796,02/01/2024,Complaint Form,PERSONAL & HOUSEHOLD,"FURNITURE (INCL. MATTRESSES, OUTDOOR FURNITURE)",,No
C-2024-20797,02/01/2024,Internet,PERSONAL & HOUSEHOLD,CLOTHING AND/OR OTHER WEARABLE GOODS (INCL. JEWELLERY),Townsville,No
C-2024-20798,02/01/2024,Complaint Form,AUTOMOTIVE,VEHICLE HIRE (EXCL. MARINE VESSELS),Cairns,No
C-2024-20799,02/01/2024,Internet,"BUILDING, CONSTRUCTION & TRADE",INTERIOR HOUSEHOLD LABOUR AND/OR GOODS (NEC),Brisbane,No
C-2024-20800,02/01/2024,,FUEL & CHEMICALS,"PETROL, GASOLINE, OIL AND/OR OTHER MOTOR VEHICLE FUEL",,No
C-2024-20801,02/01/2024,Internet,TRAVEL,BOOKINGS AND/OR MANAGEMENT,Southport,No
C-2024-20802,02/01/2024,Email,FUEL & CHEMICALS,"PETROL, GASOLINE, OIL AND/OR OTHER MOTOR VEHICLE FUEL",,No
C-2024-20803,02/01/2024,Email,FUEL & CHEMICALS,"PETROL, GASOLINE, OIL AND/OR OTHER MOTOR VEHICLE FUEL",,No
C-2024-20804,02/01/2024,Internet,AUTOMOTIVE,"CARS, UTILITIES, VANS AND/OR 4WD MOTOR VEHICLES",Southport,No
C-2024-20805,02/01/2024,Email,FUEL & CHEMICALS,"PETROL, GASOLINE, OIL AND/OR OTHER MOTOR VEHICLE FUEL",,No
C-2024-20806,02/01/2024,Internet,"BUILDING, CONSTRUCTION & TRADE",ROOFING LABOUR AND/OR GOODS,Brisbane,No
C-2024-20807,02/01/2024,Internet,TRAVEL,BOOKINGS AND/OR MANAGEMENT,Southport,Yes
C-2024-20808,02/01/2024,Email,FUEL & CHEMICALS,"PETROL, GASOLINE, OIL AND/OR OTHER MOTOR VEHICLE FUEL",,No
C-2024-20809,02/01/2024,Internet,AUTOMOTIVE,MOTOR VEHICLE SERVICING AND/OR REPAIRS (INCL. PARTS),Southport,Yes
C-2024-20810,02/01/2024,Email,AUTOMOTIVE,MOTOR VEHICLE SERVICING AND/OR REPAIRS (INCL. PARTS),,No
C-2024-20811,02/01/2024,Internet,PERSONAL & HOUSEHOLD,"FURNITURE (INCL. MATTRESSES, OUTDOOR FURNITURE)",Brisbane,No
C-2024-20812,02/01/2024,Internet,PERSONAL & HOUSEHOLD,BOND CLEANING,Toowoomba,No
C-2024-20813,02/01/2024,Email,FUEL & CHEMICALS,"PETROL, GASOLINE, OIL AND/OR OTHER MOTOR VEHICLE FUEL",,No
C-2024-20814,02/01/2024,Internet,UTILITIES,SOLAR POWER AND/OR RENEWABLE ENERGY,Wide Bay,No
